Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q96K78	reviewed	AGRG7_HUMAN	Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128)	ADGRG7 GPR128	Homo sapiens (Human)	797
O94910	reviewed	AGRL1_HUMAN	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	ADGRL1 KIAA0821 LEC2 LPHN1	Homo sapiens (Human)	1474
O95490	reviewed	AGRL2_HUMAN	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)	ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2	Homo sapiens (Human)	1459
Q9HAR2	reviewed	AGRL3_HUMAN	Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)	ADGRL3 KIAA0768 LEC3 LPHN3	Homo sapiens (Human)	1447
Q9HBW9	reviewed	AGRL4_HUMAN	Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)	ADGRL4 ELTD1 ETL UNQ202/PRO228	Homo sapiens (Human)	690
Q8WXG9	reviewed	AGRV1_HUMAN	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Homo sapiens (Human)	6306
P30542	reviewed	AA1R_HUMAN	Adenosine receptor A1	ADORA1	Homo sapiens (Human)	326
P29274	reviewed	AA2AR_HUMAN	Adenosine receptor A2a	ADORA2A ADORA2	Homo sapiens (Human)	412
P29275	reviewed	AA2BR_HUMAN	Adenosine receptor A2b	ADORA2B	Homo sapiens (Human)	332
P0DMS8	reviewed	AA3R_HUMAN	Adenosine receptor A3	ADORA3	Homo sapiens (Human)	318
P35348	reviewed	ADA1A_HUMAN	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	ADRA1A ADRA1C	Homo sapiens (Human)	466
P35368	reviewed	ADA1B_HUMAN	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	Homo sapiens (Human)	520
P25100	reviewed	ADA1D_HUMAN	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a)	ADRA1D ADRA1A	Homo sapiens (Human)	572
P08913	reviewed	ADA2A_HUMAN	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A ADRA2R ADRAR	Homo sapiens (Human)	465
P18089	reviewed	ADA2B_HUMAN	Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	ADRA2B ADRA2L1 ADRA2RL1	Homo sapiens (Human)	450
P18825	reviewed	ADA2C_HUMAN	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	ADRA2C ADRA2L2 ADRA2RL2	Homo sapiens (Human)	462
P08588	reviewed	ADRB1_HUMAN	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	ADRB1 ADRB1R B1AR	Homo sapiens (Human)	477
P07550	reviewed	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	Homo sapiens (Human)	413
P13945	reviewed	ADRB3_HUMAN	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	ADRB3 ADRB3R B3AR	Homo sapiens (Human)	408
P30556	reviewed	AGTR1_HUMAN	Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor)	AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B	Homo sapiens (Human)	359
P50052	reviewed	AGTR2_HUMAN	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor)	AGTR2	Homo sapiens (Human)	363
Q8IZ07	reviewed	AN13A_HUMAN	Ankyrin repeat domain-containing protein 13A (Protein KE03)	ANKRD13A ANKRD13	Homo sapiens (Human)	590
Q86YJ7	reviewed	AN13B_HUMAN	Ankyrin repeat domain-containing protein 13B	ANKRD13B	Homo sapiens (Human)	626
Q8N6S4	reviewed	AN13C_HUMAN	Ankyrin repeat domain-containing protein 13C	ANKRD13C	Homo sapiens (Human)	541
Q6ZTN6	reviewed	AN13D_HUMAN	Ankyrin repeat domain-containing protein 13D	ANKRD13D	Homo sapiens (Human)	605
P35414	reviewed	APJ_HUMAN	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	APLNR AGTRL1 APJ	Homo sapiens (Human)	380
P05067	reviewed	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
P49407	reviewed	ARRB1_HUMAN	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)	ARRB1 ARR1	Homo sapiens (Human)	418
P32121	reviewed	ARRB2_HUMAN	Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3)	ARRB2 ARB2 ARR2	Homo sapiens (Human)	409
P37288	reviewed	V1AR_HUMAN	Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)	AVPR1A AVPR1	Homo sapiens (Human)	418
P47901	reviewed	V1BR_HUMAN	Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)	AVPR1B AVPR3 VPR3	Homo sapiens (Human)	424
P30518	reviewed	V2R_HUMAN	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens (Human)	371
P46663	reviewed	BKRB1_HUMAN	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1 BRADYB1	Homo sapiens (Human)	353
P30411	reviewed	BKRB2_HUMAN	B2 bradykinin receptor (B2R) (BK-2 receptor)	BDKRB2 BKR2	Homo sapiens (Human)	391
P32247	reviewed	BRS3_HUMAN	Bombesin receptor subtype-3 (BRS-3)	BRS3	Homo sapiens (Human)	399
Q9BXJ1	reviewed	C1QT1_HUMAN	Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP)	C1QTNF1 CTRP1 UNQ310/PRO353	Homo sapiens (Human)	281
Q16581	reviewed	C3AR_HUMAN	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	C3AR1 AZ3B C3R1 HNFAG09	Homo sapiens (Human)	482
P21730	reviewed	C5AR1_HUMAN	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	C5AR1 C5AR C5R1	Homo sapiens (Human)	350
Q9P296	reviewed	C5AR2_HUMAN	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)	C5AR2 C5L2 GPR77	Homo sapiens (Human)	337
P30988	reviewed	CALCR_HUMAN	Calcitonin receptor (CT-R)	CALCR	Homo sapiens (Human)	474
Q16602	reviewed	CALRL_HUMAN	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	CALCRL CGRPR	Homo sapiens (Human)	461
Q86XJ0	reviewed	CAHM3_HUMAN	Calcium homeostasis modulator protein 3 (Protein A)	CALHM3 FAM26A	Homo sapiens (Human)	344
P41180	reviewed	CASR_HUMAN	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	CASR GPRC2A PCAR1	Homo sapiens (Human)	1078
Q3V6T2	reviewed	GRDN_HUMAN	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	CCDC88A APE GRDN KIAA1212	Homo sapiens (Human)	1871
Q9P219	reviewed	DAPLE_HUMAN	Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2)	CCDC88C DAPLE KIAA1509	Homo sapiens (Human)	2028
P32238	reviewed	CCKAR_HUMAN	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)	CCKAR CCKRA	Homo sapiens (Human)	428
P32239	reviewed	GASR_HUMAN	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	CCKBR CCKRB	Homo sapiens (Human)	447
P32246	reviewed	CCR1_HUMAN	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens (Human)	355
P46092	reviewed	CCR10_HUMAN	C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (G-protein coupled receptor 2)	CCR10 GPR2	Homo sapiens (Human)	362
P41597	reviewed	CCR2_HUMAN	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2 CMKBR2	Homo sapiens (Human)	374
P51677	reviewed	CCR3_HUMAN	C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193)	CCR3 CMKBR3	Homo sapiens (Human)	355
P51679	reviewed	CCR4_HUMAN	C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194)	CCR4 CMKBR4	Homo sapiens (Human)	360
P51681	reviewed	CCR5_HUMAN	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)	CCR5 CMKBR5	Homo sapiens (Human)	352
P51684	reviewed	CCR6_HUMAN	C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196)	CCR6 CKRL3 CMKBR6 GPR29 STRL22	Homo sapiens (Human)	374
P32248	reviewed	CCR7_HUMAN	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)	378
P51685	reviewed	CCR8_HUMAN	C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198)	CCR8 CKRL1 CMKBR8 CMKBRL2	Homo sapiens (Human)	355
P51686	reviewed	CCR9_HUMAN	C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199)	CCR9 GPR28	Homo sapiens (Human)	369
O00421	reviewed	CCRL2_HUMAN	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2 CCR11 CCR6 CKRX CRAM HCR	Homo sapiens (Human)	344
P60033	reviewed	CD81_HUMAN	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
Q9NYQ6	reviewed	CELR1_HUMAN	Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2)	CELSR1 CDHF9 FMI2	Homo sapiens (Human)	3014
Q9HCU4	reviewed	CELR2_HUMAN	Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3)	CELSR2 CDHF10 EGFL2 KIAA0279 MEGF3	Homo sapiens (Human)	2923
Q9NYQ7	reviewed	CELR3_HUMAN	Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2)	CELSR3 CDHF11 EGFL1 FMI1 KIAA0812 MEGF2	Homo sapiens (Human)	3312
P11229	reviewed	ACM1_HUMAN	Muscarinic acetylcholine receptor M1	CHRM1	Homo sapiens (Human)	460
P08172	reviewed	ACM2_HUMAN	Muscarinic acetylcholine receptor M2	CHRM2	Homo sapiens (Human)	466
P20309	reviewed	ACM3_HUMAN	Muscarinic acetylcholine receptor M3	CHRM3	Homo sapiens (Human)	590
P08173	reviewed	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens (Human)	479
P08912	reviewed	ACM5_HUMAN	Muscarinic acetylcholine receptor M5	CHRM5	Homo sapiens (Human)	532
Q99788	reviewed	CML1_HUMAN	Chemerin-like receptor 1 (Chemokine-like receptor 1) (G-protein coupled receptor ChemR23) (G-protein coupled receptor DEZ)	CMKLR1 CHEMR23 DEZ	Homo sapiens (Human)	373
P46091	reviewed	CML2_HUMAN	Chemerin-like receptor 2 (Chemerin chemokine-like receptor 2) (Chemokine-like receptor 2) (G-protein coupled receptor 1)	CMKLR2 GPR1	Homo sapiens (Human)	355
Q9P003	reviewed	CNIH4_HUMAN	Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4)	CNIH4 HSPC163	Homo sapiens (Human)	139
P21554	reviewed	CNR1_HUMAN	Cannabinoid receptor 1 (CB-R) (CB1) (CANN6)	CNR1 CNR	Homo sapiens (Human)	472
P34972	reviewed	CNR2_HUMAN	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	Homo sapiens (Human)	360
P16220	reviewed	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	CREB1	Homo sapiens (Human)	327
P34998	reviewed	CRFR1_HUMAN	Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1)	CRHR1 CRFR CRFR1 CRHR	Homo sapiens (Human)	444
Q13324	reviewed	CRFR2_HUMAN	Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2)	CRHR2 CRF2R CRH2R	Homo sapiens (Human)	411
Q16526	reviewed	CRY1_HUMAN	Cryptochrome-1	CRY1 PHLL1	Homo sapiens (Human)	586
P78423	reviewed	X3CL1_HUMAN	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]	CX3CL1 FKN NTT SCYD1 A-152E5.2	Homo sapiens (Human)	397
P49238	reviewed	CX3C1_HUMAN	CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)	CX3CR1 CMKBRL1 GPR13	Homo sapiens (Human)	355
P25024	reviewed	CXCR1_HUMAN	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)	350
P25025	reviewed	CXCR2_HUMAN	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	CXCR2 IL8RB	Homo sapiens (Human)	360
P49682	reviewed	CXCR3_HUMAN	C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183)	CXCR3 GPR9	Homo sapiens (Human)	368
P61073	reviewed	CXCR4_HUMAN	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Homo sapiens (Human)	352
P32302	reviewed	CXCR5_HUMAN	C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1) (Monocyte-derived receptor 15) (MDR-15) (CD antigen CD185)	CXCR5 BLR1 MDR15	Homo sapiens (Human)	372
O00574	reviewed	CXCR6_HUMAN	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6 BONZO STRL33 TYMSTR	Homo sapiens (Human)	342
Q9Y271	reviewed	CLTR1_HUMAN	Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81)	CYSLTR1 CYSLT1	Homo sapiens (Human)	337
